dataset_id,name,type,on_contig_edge,length_nt,dataset_name,orig_filename,bgc_id,subclass_id,class_id,subclass_name,class_source,type_source,class_name,gcf_id,membership_value,rank
1,iss_3dmm/NODE_409_length_1522_cov_12.483299.region001,as7,1,1522,iss_3dmm,NODE_409_length_1522_cov_12.483299.region001.gbk,1,181,4,generic,NRPS,as7,NRP,1018,0.347599893909603,0
1,iss_3dmm/NODE_748_length_1082_cov_8.936709.region001,as7,1,1082,iss_3dmm,NODE_748_length_1082_cov_8.936709.region001.gbk,2,244,6,RiPP-like,RiPP-like,as7,RiPP,70,0.234553494362731,0
1,iss_3dmm/NODE_359_length_2457_cov_19.870525.region001,as7,1,2457,iss_3dmm,NODE_359_length_2457_cov_19.870525.region001.gbk,3,218,5,T1PKS,T1PKS,as7,Polyketide,10941,0.397908685517158,0
1,iss_3dmm/NODE_376_length_2355_cov_24.960000.region001,as7,1,2355,iss_3dmm,NODE_376_length_2355_cov_24.960000.region001.gbk,4,244,6,RiPP-like,RiPP-like,as7,RiPP,70,0.338334628153461,0
1,iss_3dmm/NODE_14_length_1637_cov_67.998104.region001,as7,1,1637,iss_3dmm,NODE_14_length_1637_cov_67.998104.region001.gbk,5,213,2,resorcinol,resorcinol,as7,Other,56,0.250407046151239,0
1,iss_3dmm/NODE_166_length_1629_cov_54.418679.region001,as7,1,1629,iss_3dmm,NODE_166_length_1629_cov_54.418679.region001.gbk,6,181,4,generic,NRPS,as7,NRP,1018,0.292710652700548,0
1,iss_3dmm/NODE_291_length_1171_cov_37.827957.region001,as7,1,1171,iss_3dmm,NODE_291_length_1171_cov_37.827957.region001.gbk,7,213,2,resorcinol,resorcinol,as7,Other,56,0.162885344886247,0
1,iss_3dmm/NODE_466_length_1026_cov_4.978373.region001,as7,1,1026,iss_3dmm,NODE_466_length_1026_cov_4.978373.region001.gbk,8,253,8,generic,terpene,as7,Terpene,212,0.28713989501202,0
1,iss_3dmm/NODE_830_length_1001_cov_10.917548.region001,as7,1,1001,iss_3dmm,NODE_830_length_1001_cov_10.917548.region001.gbk,9,253,8,generic,terpene,as7,Terpene,212,0.195809575968481,0
1,iss_3dmm/NODE_177_length_2259_cov_57.089383.region001,as7,1,2259,iss_3dmm,NODE_177_length_2259_cov_57.089383.region001.gbk,10,213,2,resorcinol,resorcinol,as7,Other,56,0.162885344886247,0
1,iss_3dmm/NODE_1815_length_1186_cov_9.277630.region001,as7,1,1186,iss_3dmm,NODE_1815_length_1186_cov_9.277630.region001.gbk,11,186,2,arylpolyene,arylpolyene,as7,Other,6396,0.255843506440463,0
1,iss_3dmm/NODE_2721_length_1033_cov_17.126789.region001,as7,1,1033,iss_3dmm,NODE_2721_length_1033_cov_17.126789.region001.gbk,12,186,2,arylpolyene,arylpolyene,as7,Other,10948,0.326173453459361,0
1,iss_3dmm/NODE_872_length_1480_cov_11.090526.region001,as7,1,1480,iss_3dmm,NODE_872_length_1480_cov_11.090526.region001.gbk,13,181,4,generic,NRPS,as7,NRP,1220,0.254555709097301,0
1,iss_3dmm/NODE_549_length_1383_cov_8.671687.region001,as7,1,1383,iss_3dmm,NODE_549_length_1383_cov_8.671687.region001.gbk,14,181,4,generic,NRPS,as7,NRP,1018,0.344187546997423,0
1,iss_3dmm/NODE_32_length_1312_cov_18.489260.region001,as7,1,1312,iss_3dmm,NODE_32_length_1312_cov_18.489260.region001.gbk,15,201,2,siderophore,NI-siderophore,as7,Other,1116,0.312571498360783,0
